"ensembl_gene_id","external_gene_name","gene_biotype","external_gene_source","postip_21c_3.5","postip_21c_1.23","postip_21c_1.9","postip_21s_6.11","postip_21s_3.15","postip_21s_1.23","preip_21c_3.5","preip_21c_1.23","preip_21c_1.9","preip_21s_6.11","preip_21s_3.15","preip_21s_1.23"
"ENSMUSG00000000197","Nalcn","protein_coding","MGI Symbol",1320,1320,1164,754,2029,1550,1069,1076,665,726,787,878
"ENSMUSG00000000202","Btbd17","protein_coding","MGI Symbol",48,46,93,19,102,29,90,38,60,79,73,77
"ENSMUSG00000000204","Slfn4","protein_coding","MGI Symbol",0,0,0,0,0,0,0,5,0,0,1,0
"ENSMUSG00000000214","Th","protein_coding","MGI Symbol",151,219,247,80,106,44,72,202,96,89,57,72
"ENSMUSG00000000215","Ins2","protein_coding","MGI Symbol",8,0,3,7,3,0,1,1,2,2,8,6
"ENSMUSG00000000216","Scnn1g","protein_coding","MGI Symbol",3,0,0,6,0,0,0,0,0,1,1,1
"ENSMUSG00000000223","Drp2","protein_coding","MGI Symbol",432,368,631,253,361,506,1199,1528,1328,611,858,1151
"ENSMUSG00000000244","Tspan32","protein_coding","MGI Symbol",7,17,0,4,0,4,5,21,3,10,8,10
"ENSMUSG00000000247","Lhx2","protein_coding","MGI Symbol",0,0,0,17,6,23,26,24,4,15,6,13
"ENSMUSG00000000248","Clec2g","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000253","Gmpr","protein_coding","MGI Symbol",820,659,676,844,646,490,571,641,531,472,310,626
"ENSMUSG00000000263","Glra1","protein_coding","MGI Symbol",6380,7826,5424,2146,6172,6005,3159,4237,3558,1643,3070,5823
"ENSMUSG00000000266","Mid2","protein_coding","MGI Symbol",582,466,226,143,575,461,518,569,464,373,517,475
"ENSMUSG00000000275","Trim25","protein_coding","MGI Symbol",115,48,270,83,9,75,303,243,407,243,237,292
"ENSMUSG00000000276","Dgke","protein_coding","MGI Symbol",946,603,468,448,924,782,849,651,516,447,571,595
"ENSMUSG00000000278","Scpep1","protein_coding","MGI Symbol",723,770,582,327,811,337,346,374,364,350,247,469
"ENSMUSG00000000282","Mnt","protein_coding","MGI Symbol",641,503,374,355,153,228,606,644,876,344,422,742
"ENSMUSG00000000290","Itgb2","protein_coding","MGI Symbol",9,0,10,16,0,0,18,28,31,30,13,13
"ENSMUSG00000000295","Hddc2","protein_coding","MGI Symbol",1198,1070,1486,225,715,466,243,244,293,308,397,233
"ENSMUSG00000000296","Tpd52l1","protein_coding","MGI Symbol",1893,1060,1808,229,680,466,305,199,113,290,251,192
"ENSMUSG00000000301","Pemt","protein_coding","MGI Symbol",143,121,181,78,61,99,30,46,24,94,26,60
"ENSMUSG00000000303","Cdh1","protein_coding","MGI Symbol",30,3,187,8,5,22,24,74,38,21,6,33
"ENSMUSG00000000305","Cdh4","protein_coding","MGI Symbol",187,54,226,116,136,152,253,253,317,203,202,265
"ENSMUSG00000000308","Ckmt1","protein_coding","MGI Symbol",7468,4976,5693,6129,5492,3658,5795,5280,5822,4609,3374,6749
"ENSMUSG00000000317","Bcl6b","protein_coding","MGI Symbol",0,0,7,3,5,2,30,28,9,23,18,18
"ENSMUSG00000000318","Clec10a","protein_coding","MGI Symbol",0,14,0,0,0,0,0,1,5,1,4,0
"ENSMUSG00000000320","Alox12","protein_coding","MGI Symbol",0,1,2,0,0,0,8,30,13,6,9,31
"ENSMUSG00000000325","Arvcf","protein_coding","MGI Symbol",1,0,0,1,6,1,3,6,2,3,3,9
"ENSMUSG00000000326","Comt","protein_coding","MGI Symbol",0,0,1,0,0,0,0,1,1,0,1,2
"ENSMUSG00000000339","Rtca","protein_coding","MGI Symbol",1202,724,320,993,734,497,638,422,502,694,526,576
"ENSMUSG00000000340","Dbt","protein_coding","MGI Symbol",54,78,33,37,214,65,245,177,200,207,227,208
"ENSMUSG00000000346","Dazap2","protein_coding","MGI Symbol",6248,4656,4937,2300,5440,4102,4214,3940,3458,3377,3460,3821
"ENSMUSG00000000355","Mcts1","protein_coding","MGI Symbol",748,445,692,286,1212,754,230,238,212,261,270,256
"ENSMUSG00000000359","Rem1","protein_coding","MGI Symbol",0,0,0,0,0,2,10,5,0,3,3,4
"ENSMUSG00000000365","Rnf17","protein_coding","MGI Symbol",13,6,0,0,4,0,2,6,0,6,2,5
"ENSMUSG00000000374","Trappc10","protein_coding","MGI Symbol",1065,742,1342,725,1441,967,1480,1722,1702,1063,963,1364
"ENSMUSG00000000378","Ccm2","protein_coding","MGI Symbol",708,718,414,422,386,343,717,717,741,565,392,481
"ENSMUSG00000000381","Wap","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000384","Tbrg4","protein_coding","MGI Symbol",741,635,691,782,801,572,600,664,890,516,401,751
"ENSMUSG00000000385","Tmprss2","protein_coding","MGI Symbol",3,0,2,0,0,0,0,2,0,0,3,1
"ENSMUSG00000000386","Mx1","protein_coding","MGI Symbol",0,0,0,0,0,0,6,12,0,7,11,2
"ENSMUSG00000000392","Fap","protein_coding","MGI Symbol",0,0,10,2,5,3,6,10,2,1,5,5
"ENSMUSG00000000394","Gcg","protein_coding","MGI Symbol",2,1,11,3,0,6,2,2,2,3,7,14
"ENSMUSG00000000399","Ndufa9","protein_coding","MGI Symbol",3954,3053,3649,3646,4499,2802,3344,2476,2527,3818,2245,2690
"ENSMUSG00000000402","Egfl6","protein_coding","MGI Symbol",62,10,33,22,71,23,137,68,43,122,88,33
"ENSMUSG00000000409","Lck","protein_coding","MGI Symbol",2,2,0,1,1,0,17,2,1,2,5,2
"ENSMUSG00000000411","Tssk3","protein_coding","MGI Symbol",5,0,0,0,0,0,4,0,0,0,2,0
"ENSMUSG00000000416","Cttnbp2","protein_coding","MGI Symbol",219,287,362,161,441,189,637,631,368,342,901,663
"ENSMUSG00000000420","Galnt1","protein_coding","MGI Symbol",507,277,306,186,247,380,574,377,213,440,506,360
"ENSMUSG00000000435","Myf5","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000439","Mkrn2","protein_coding","MGI Symbol",481,505,372,382,778,379,609,484,479,412,418,418
"ENSMUSG00000000440","Pparg","protein_coding","MGI Symbol",34,14,11,9,30,59,31,15,8,20,17,13
"ENSMUSG00000000441","Raf1","protein_coding","MGI Symbol",1304,798,773,416,956,603,851,921,735,586,682,665
"ENSMUSG00000000486","Sept1","protein_coding","MGI Symbol",25,8,21,14,46,50,66,69,43,25,29,60
"ENSMUSG00000000489","Pdgfb","protein_coding","MGI Symbol",193,59,73,34,40,28,100,81,79,50,35,50
"ENSMUSG00000000530","Acvrl1","protein_coding","MGI Symbol",1,0,24,0,0,2,9,33,29,6,10,41
"ENSMUSG00000000531","Grasp","protein_coding","MGI Symbol",134,149,102,94,176,34,61,83,110,38,53,74
"ENSMUSG00000000532","Acvr1b","protein_coding","MGI Symbol",1191,677,845,1315,1612,1042,834,1013,1067,787,805,924
"ENSMUSG00000000538","Tom1l2","protein_coding","MGI Symbol",7071,4482,4334,4377,3715,3507,5528,6895,6978,4506,3469,7015
"ENSMUSG00000000544","Gpa33","protein_coding","MGI Symbol",1,4,4,0,0,2,0,1,1,0,1,0
"ENSMUSG00000000552","Zfp385a","protein_coding","MGI Symbol",3073,1873,1267,3992,2259,2419,2252,2779,3176,1741,1676,3692
"ENSMUSG00000000555","Itga5","protein_coding","MGI Symbol",18,162,18,7,1,17,38,70,37,19,44,29
"ENSMUSG00000000560","Gabra2","protein_coding","MGI Symbol",277,351,225,71,90,101,184,169,72,85,121,124
"ENSMUSG00000000561","Wdr77","protein_coding","MGI Symbol",674,261,667,343,671,436,560,492,404,496,514,504
"ENSMUSG00000000562","Adora3","protein_coding","MGI Symbol",0,0,1,2,0,0,2,5,2,0,1,2
"ENSMUSG00000000562","Adora3","protein_coding","MGI Symbol",0,0,1,2,0,0,2,5,2,0,1,2
"ENSMUSG00000000563","Atp5f1","protein_coding","MGI Symbol",3637,2366,3855,1556,5608,3000,1633,1214,1254,1947,1241,1237
"ENSMUSG00000000567","Sox9","protein_coding","MGI Symbol",254,108,253,20,58,41,594,921,906,333,570,972
"ENSMUSG00000000568","Hnrnpd","protein_coding","MGI Symbol",1271,521,997,763,1287,874,1988,1358,1782,1229,1866,1953
"ENSMUSG00000000579","Dynlt1c","protein_coding","MGI Symbol",0,0,0,0,0,1,3,0,3,0,9,6
"ENSMUSG00000000581","C1d","protein_coding","MGI Symbol",889,527,820,287,1321,974,289,371,203,460,304,312
"ENSMUSG00000000594","Gm2a","protein_coding","MGI Symbol",308,227,587,377,519,183,938,1045,1167,1664,660,990
"ENSMUSG00000000600","Krit1","protein_coding","MGI Symbol",175,107,149,52,298,216,252,221,125,138,222,246
"ENSMUSG00000000605","Clcn4-2","protein_coding","MGI Symbol",884,569,526,421,837,676,807,738,572,759,641,583
"ENSMUSG00000000606","Vmn2r88","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000617","Grm6","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000627","Sema4f","protein_coding","MGI Symbol",1285,714,1187,1537,1125,430,1192,873,1153,1020,910,1119
"ENSMUSG00000000628","Hk2","protein_coding","MGI Symbol",21,23,2,4,41,7,82,61,49,34,51,75
"ENSMUSG00000000631","Myo18a","protein_coding","MGI Symbol",1861,1134,1235,1018,1359,626,2191,1705,2079,1616,1528,2382
"ENSMUSG00000000632","Sez6","protein_coding","MGI Symbol",622,616,417,979,463,698,819,1087,949,819,619,1226
"ENSMUSG00000000673","Haao","protein_coding","MGI Symbol",0,0,0,0,0,4,6,9,7,4,6,5
"ENSMUSG00000000682","Cd52","protein_coding","MGI Symbol",9,9,11,0,3,0,61,51,16,77,33,41
"ENSMUSG00000000686","Abhd15","protein_coding","MGI Symbol",0,0,0,0,0,0,9,2,7,9,9,2
"ENSMUSG00000000690","Hoxb6","protein_coding","MGI Symbol",440,219,582,573,1295,479,570,478,532,458,638,665
"ENSMUSG00000000693","Loxl3","protein_coding","MGI Symbol",5,0,7,13,1,5,60,15,48,47,10,11
"ENSMUSG00000000701","Tcl1b5","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000706","Btn1a1","protein_coding","MGI Symbol",8,0,0,2,1,13,4,12,3,3,9,2
"ENSMUSG00000000708","Kat2b","protein_coding","MGI Symbol",223,200,255,56,152,129,809,712,456,470,592,535
"ENSMUSG00000000711","Rab5b","protein_coding","MGI Symbol",1296,1140,1201,1322,1600,1403,1760,1577,1274,1267,1457,1891
"ENSMUSG00000000724","Cryba1","protein_coding","MGI Symbol",0,0,0,0,0,1,2,0,0,0,5,0
"ENSMUSG00000000730","Dnmt3l","protein_coding","MGI Symbol",29,21,19,0,13,1,8,1,0,1,0,0
"ENSMUSG00000000731","Aire","protein_coding","MGI Symbol",0,0,0,0,0,0,5,3,2,0,4,1
"ENSMUSG00000000732","Icosl","protein_coding","MGI Symbol",14,0,14,2,7,36,29,69,31,35,31,18
"ENSMUSG00000000738","Spg7","protein_coding","MGI Symbol",405,203,280,260,252,176,300,253,255,344,212,322
"ENSMUSG00000000739","Sult5a1","protein_coding","MGI Symbol",4,0,0,0,1,0,4,11,9,8,9,1
"ENSMUSG00000000740","Rpl13","protein_coding","MGI Symbol",351,229,498,199,498,274,227,269,232,363,283,321
"ENSMUSG00000000743","Chmp1a","protein_coding","MGI Symbol",550,372,870,508,845,363,490,596,523,576,392,494
"ENSMUSG00000000751","Rpa1","protein_coding","MGI Symbol",516,417,376,386,585,470,636,742,597,569,415,697
"ENSMUSG00000000753","Serpinf1","protein_coding","MGI Symbol",365,220,221,617,416,319,334,509,377,347,196,465
"ENSMUSG00000000759","Tubgcp3","protein_coding","MGI Symbol",537,388,236,330,430,437,780,614,550,464,627,589
"ENSMUSG00000000766","Oprm1","protein_coding","MGI Symbol",193,152,285,280,401,518,330,444,373,188,229,449
"ENSMUSG00000000776","Polr3d","protein_coding","MGI Symbol",188,85,85,115,202,216,203,261,318,162,127,202
"ENSMUSG00000000782","Tcf7","protein_coding","MGI Symbol",16,17,39,12,13,41,49,73,36,31,35,67
"ENSMUSG00000000787","Ddx3x","protein_coding","MGI Symbol",4125,2430,1719,1353,2592,2343,3253,2572,1636,2126,2594,2264
"ENSMUSG00000000791","Il12rb1","protein_coding","MGI Symbol",1,0,93,17,7,15,62,52,45,67,93,57
"ENSMUSG00000000792","Slc5a5","protein_coding","MGI Symbol",1956,1690,1517,328,477,391,139,189,215,170,118,185
"ENSMUSG00000000794","Kcnn3","protein_coding","MGI Symbol",370,260,176,73,167,70,178,229,173,163,234,219
"ENSMUSG00000000804","Usp32","protein_coding","MGI Symbol",2340,1880,1941,531,2369,1471,2088,1846,1164,1474,1759,1654
"ENSMUSG00000000805","Car4","protein_coding","MGI Symbol",5,6,1,8,7,10,38,59,134,38,34,48
"ENSMUSG00000000811","Txnrd3","protein_coding","MGI Symbol",209,120,136,107,337,152,130,76,76,130,76,107
"ENSMUSG00000000817","Fasl","protein_coding","MGI Symbol",0,0,0,0,0,0,2,0,0,0,4,4
"ENSMUSG00000000823","Znf512b","protein_coding","MGI Symbol",225,226,205,157,267,127,427,449,373,231,327,369
"ENSMUSG00000000826","Dnajc5","protein_coding","MGI Symbol",9339,5475,5241,4568,9420,6691,6397,6116,5191,4579,4641,5550
"ENSMUSG00000000827","Tpd52l2","protein_coding","MGI Symbol",2658,1226,2307,2229,3525,2226,2200,1697,1799,1842,1558,1813
"ENSMUSG00000000838","Fmr1","protein_coding","MGI Symbol",208,96,155,36,180,134,350,289,220,258,375,242
"ENSMUSG00000000861","Bcl11a","protein_coding","MGI Symbol",88,33,143,291,582,308,369,323,405,242,447,350
"ENSMUSG00000000869","Il4","protein_coding","MGI Symbol",23,6,10,3,2,17,16,21,20,20,25,22
"ENSMUSG00000000876","Pxmp4","protein_coding","MGI Symbol",538,253,486,200,255,119,349,314,361,290,235,325
"ENSMUSG00000000881","Dlg3","protein_coding","MGI Symbol",438,182,209,219,539,446,596,419,381,380,371,519
"ENSMUSG00000000884","Gnb1l","protein_coding","MGI Symbol",22,18,35,21,38,33,38,35,13,31,24,13
"ENSMUSG00000000889","Dbh","protein_coding","MGI Symbol",3,0,36,0,2,0,7,0,0,1,2,0
"ENSMUSG00000000901","Mmp11","protein_coding","MGI Symbol",31,44,22,4,2,1,23,37,63,29,15,16
"ENSMUSG00000000902","Smarcb1","protein_coding","MGI Symbol",366,150,341,367,356,275,713,774,756,604,456,764
"ENSMUSG00000000903","Vpreb3","protein_coding","MGI Symbol",1,0,0,0,18,0,4,9,0,1,0,2
"ENSMUSG00000000915","Hip1r","protein_coding","MGI Symbol",288,190,247,343,320,145,502,618,554,488,350,537
"ENSMUSG00000000916","Nsun5","protein_coding","MGI Symbol",158,64,78,96,151,91,90,102,104,89,114,104
"ENSMUSG00000000934","Top1mt","protein_coding","MGI Symbol",210,96,223,58,257,109,198,118,215,123,122,111
"ENSMUSG00000000938","Hoxa10","protein_coding","MGI Symbol",199,167,134,455,494,588,362,363,453,321,388,544
"ENSMUSG00000000942","Hoxa4","protein_coding","MGI Symbol",55,12,40,41,113,38,89,68,90,50,22,67
"ENSMUSG00000000948","Gm38393","protein_coding","MGI Symbol",34426,23619,19959,19814,29436,26158,16426,14213,14677,15920,13902,14368
"ENSMUSG00000000957","Mmp14","protein_coding","MGI Symbol",28,2,16,10,9,14,96,125,110,112,77,95
"ENSMUSG00000000958","Slc7a7","protein_coding","MGI Symbol",11,8,2,7,0,5,24,27,9,35,14,28
"ENSMUSG00000000959","Oxa1l","protein_coding","MGI Symbol",1216,905,1521,1187,1622,1288,977,991,1086,991,766,1102
"ENSMUSG00000000976","Heatr6","protein_coding","MGI Symbol",590,406,336,207,512,243,381,289,420,306,312,407
"ENSMUSG00000000982","Ccl3","protein_coding","MGI Symbol",0,0,0,2,0,14,9,1,22,15,7,2
"ENSMUSG00000000983","Wfdc18","protein_coding","MGI Symbol",6,9,0,18,0,5,42,29,60,85,46,25
"ENSMUSG00000001014","Icam4","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001016","Ilf2","protein_coding","MGI Symbol",617,610,590,872,846,748,805,766,718,720,648,748
"ENSMUSG00000001017","Chtop","protein_coding","MGI Symbol",1789,760,1329,1180,2280,1289,2535,1726,1613,1747,1965,2079
"ENSMUSG00000001018","Snapin","protein_coding","MGI Symbol",3671,3053,4071,1180,3815,2741,2703,2347,2536,2314,2046,2500
"ENSMUSG00000001020","S100a4","protein_coding","MGI Symbol",28,73,32,7,1,4,72,155,132,196,117,116
"ENSMUSG00000001021","S100a3","protein_coding","MGI Symbol",2,15,6,2,6,0,6,20,24,21,7,8
"ENSMUSG00000001023","S100a5","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001025","S100a6","protein_coding","MGI Symbol",84,138,200,79,46,129,718,834,567,1201,461,638
"ENSMUSG00000001027","Scn4a","protein_coding","MGI Symbol",0,0,0,0,0,1,3,10,0,1,0,2
"ENSMUSG00000001029","Icam2","protein_coding","MGI Symbol",4,0,0,0,0,2,12,12,11,5,3,11
"ENSMUSG00000001034","Mapk7","protein_coding","MGI Symbol",276,190,186,117,149,35,339,424,437,235,213,474
"ENSMUSG00000001036","Epn2","protein_coding","MGI Symbol",580,372,409,192,397,313,1816,1324,1678,1444,1391,1613
"ENSMUSG00000001039","B9d1","protein_coding","MGI Symbol",169,97,194,59,178,119,107,87,85,191,100,89
"ENSMUSG00000001052","Sec24b","protein_coding","MGI Symbol",1261,1060,1217,707,1715,1138,1675,1677,1661,1200,1185,1672
"ENSMUSG00000001053","N4bp3","protein_coding","MGI Symbol",46,28,89,217,226,169,96,96,60,68,51,83
"ENSMUSG00000001054","Rmnd5b","protein_coding","MGI Symbol",437,435,470,305,556,292,310,299,335,370,163,319
"ENSMUSG00000001056","Nhp2","protein_coding","MGI Symbol",468,506,851,277,381,358,300,221,164,280,216,265
"ENSMUSG00000001062","Vps9d1","protein_coding","MGI Symbol",669,394,429,233,500,310,410,371,424,322,244,354
"ENSMUSG00000001065","Zfp276","protein_coding","MGI Symbol",67,19,97,56,95,20,359,384,397,232,292,429
"ENSMUSG00000001076","C1ql4","protein_coding","MGI Symbol",0,0,0,0,0,0,0,2,0,1,1,2
"ENSMUSG00000001082","Mfsd10","protein_coding","MGI Symbol",85,21,36,36,35,29,50,89,46,31,32,31
"ENSMUSG00000001089","Luzp1","protein_coding","MGI Symbol",4587,3317,3618,2486,7528,4439,4290,3508,3555,2758,4114,4656
"ENSMUSG00000001095","Slc13a2","protein_coding","MGI Symbol",0,0,1,0,0,0,0,0,0,0,1,0
"ENSMUSG00000001098","Kctd10","protein_coding","MGI Symbol",339,360,197,180,238,120,186,288,251,157,142,282
"ENSMUSG00000001100","Poldip2","protein_coding","MGI Symbol",1314,1409,1573,1061,2011,1244,958,955,1008,936,752,1045
"ENSMUSG00000001103","Sebox","protein_coding","MGI Symbol",0,0,0,0,0,0,0,5,0,1,1,0
"ENSMUSG00000001105","Ift20","protein_coding","MGI Symbol",4090,2097,3410,1178,4057,2891,1843,1376,1301,1527,2142,1560
"ENSMUSG00000001119","Col6a1","protein_coding","MGI Symbol",20,78,158,11,15,16,57,202,127,52,39,119
"ENSMUSG00000001120","Pcbp3","protein_coding","MGI Symbol",4142,2905,3011,1145,1432,1220,1188,1522,1286,969,856,1436
"ENSMUSG00000001123","Lgals9","protein_coding","MGI Symbol",72,140,25,78,76,72,263,366,317,268,179,320
"ENSMUSG00000001127","Araf","protein_coding","MGI Symbol",2426,1076,2022,1306,2804,2226,1538,1194,993,1765,1146,1218
"ENSMUSG00000001128","Cfp","protein_coding","MGI Symbol",6,2,3,3,0,9,42,6,54,14,35,21
"ENSMUSG00000001131","Timp1","protein_coding","MGI Symbol",4,2,23,0,3,0,6,0,0,7,9,2
"ENSMUSG00000001134","Uxt","protein_coding","MGI Symbol",84,113,102,25,44,32,40,30,34,42,55,35
"ENSMUSG00000001138","Cnnm3","protein_coding","MGI Symbol",350,228,340,214,300,182,387,400,408,378,317,415
"ENSMUSG00000001143","Lman2l","protein_coding","MGI Symbol",411,89,173,191,154,202,240,237,249,182,218,259
"ENSMUSG00000001150","Mcm3ap","protein_coding","MGI Symbol",318,246,196,173,185,195,403,402,410,316,270,363
"ENSMUSG00000001151","Pcnt","protein_coding","MGI Symbol",136,103,157,84,310,142,325,294,341,249,320,259
"ENSMUSG00000001155","Ftcd","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,2,0,0
"ENSMUSG00000001156","Mxd1","protein_coding","MGI Symbol",151,21,143,254,256,203,449,482,308,283,412,438
"ENSMUSG00000001157","Gmcl1","protein_coding","MGI Symbol",672,382,489,176,280,265,411,275,228,207,284,336
"ENSMUSG00000001158","Snrnp27","protein_coding","MGI Symbol",534,446,729,247,764,672,416,332,366,465,394,457
"ENSMUSG00000001166","Oas1c","protein_coding","MGI Symbol",195,219,259,48,447,145,83,45,46,48,79,61
"ENSMUSG00000001168","Oas1h","protein_coding","MGI Symbol",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001173","Ocrl","protein_coding","MGI Symbol",965,1070,880,445,1345,898,1146,1102,791,735,1103,948
"ENSMUSG00000001175","Calm1","protein_coding","MGI Symbol",103639,46858,59416,29238,75255,46847,47202,36877,32655,33247,38649,40650
"ENSMUSG00000001211","Agpat3","protein_coding","MGI Symbol",3826,3421,1959,2276,2069,2058,3170,2816,3286,3237,2191,3562
"ENSMUSG00000001225","Slc26a3","protein_coding","MGI Symbol",3,1,10,0,0,3,3,9,0,0,9,5
"ENSMUSG00000001227","Sema6b","protein_coding","MGI Symbol",562,271,234,705,257,323,615,697,721,474,316,716
"ENSMUSG00000001228","Uhrf1","protein_coding","MGI Symbol",4,5,45,6,0,8,16,27,41,11,9,29
"ENSMUSG00000001229","Dpp9","protein_coding","MGI Symbol",1098,715,769,447,498,706,516,843,872,487,393,770
"ENSMUSG00000001240","Ramp2","protein_coding","MGI Symbol",451,315,492,97,127,147,107,147,130,187,103,147
"ENSMUSG00000001247","Lsr","protein_coding","MGI Symbol",11,7,16,1,6,13,23,47,45,19,26,19
"ENSMUSG00000001248","Gramd1a","protein_coding","MGI Symbol",420,264,433,178,75,155,527,395,385,262,415,363
"ENSMUSG00000001249","Hpn","protein_coding","MGI Symbol",97,34,63,32,16,21,13,20,15,16,15,15
"ENSMUSG00000001260","Gabrg1","protein_coding","MGI Symbol",199,165,149,45,77,84,84,124,98,97,95,67
"ENSMUSG00000001270","Ckb","protein_coding","MGI Symbol",12420,8104,11208,19689,12598,9356,18963,24381,25811,16937,12013,27781
"ENSMUSG00000001280","Sp1","protein_coding","MGI Symbol",221,336,281,150,171,111,967,748,752,531,629,769
"ENSMUSG00000001281","Itgb7","protein_coding","MGI Symbol",4,0,0,17,0,4,41,31,39,34,17,29
"ENSMUSG00000001285","Myg1","protein_coding","MGI Symbol",571,620,591,624,513,411,600,542,391,506,326,395
"ENSMUSG00000001288","Rarg","protein_coding","MGI Symbol",59,28,29,9,11,14,57,66,81,31,33,62
"ENSMUSG00000001289","Pfdn5","protein_coding","MGI Symbol",3107,2610,2966,1563,2694,2040,2089,2240,1861,3056,1665,1849
"ENSMUSG00000001300","Efnb2","protein_coding","MGI Symbol",147,55,92,133,132,127,272,179,193,159,171,279
