#id	symbol	day0	day4	day5	day6
ENSMUSG00000000197	Nalcn	0.0465	0.1875	1.5271	2.4214
ENSMUSG00000000202	Btbd17	0.1407	18.1429	56.2624	5.2496
ENSMUSG00000000204	Slfn4	0.0574	0	0	0
ENSMUSG00000000214	Th	0.0489	0.1579	10.6218	25.8785
ENSMUSG00000000215	Ins2	0	0	0	0
ENSMUSG00000000216	Scnn1g	0	0	0	0
ENSMUSG00000000223	Drp2	0.0522	0.2371	0.7255	2.0956
ENSMUSG00000000244	Tspan32	0.0609	0	0	0.048
ENSMUSG00000000247	Lhx2	0.0673	0.2052	0.1845	0.0187
ENSMUSG00000000248	Clec2g	0	0	0	0
ENSMUSG00000000253	Gmpr	2.7284	0.2988	0.4749	1.3087
ENSMUSG00000000263	Glra1	0	1.8715	6.7124	0.6001
ENSMUSG00000000266	Mid2	0.1649	0.8404	4.6053	4.3251
ENSMUSG00000000275	Trim25	17.5366	1.4254	0.6518	0.3964
ENSMUSG00000000276	Dgke	5.823	1.5708	2.8965	6.4277
ENSMUSG00000000278	Scpep1	54.7276	20.9334	8.5852	5.2737
ENSMUSG00000000282	Mnt	1.572	2.289	1.7923	2.114
ENSMUSG00000000290	Itgb2	0.1251	0	0	0.0104
ENSMUSG00000000295	Hddc2	9.8351	9.4022	6.6963	4.5518
ENSMUSG00000000296	Tpd52l1	4.2675	1.644	0.3854	0.3576
ENSMUSG00000000301	Pemt	0.7528	2.5934	0.5249	0.2026
ENSMUSG00000000303	Cdh1	42.3591	1.7298	0.2522	0.5328
ENSMUSG00000000305	Cdh4	0.133	1.4111	1.3441	2.5403
ENSMUSG00000000308	Ckmt1	2.9868	0.2146	1.0932	9.4127
ENSMUSG00000000317	Bcl6b	1.8876	0.1898	0.166	0.1439
ENSMUSG00000000318	Clec10a	0.062	0	0	0
ENSMUSG00000000320	Alox12	0.1345	0.061	0	0.0114
ENSMUSG00000000325	Arvcf	5.2296	15.062	19.7604	23.7235
ENSMUSG00000000326	Comt	3.1118	5.0057	4.512	5.7464
ENSMUSG00000000339	Rtcd1	9.7329	18.1755	13.401	11.9769
ENSMUSG00000000340	Dbt	8.8917	3.8586	3.5301	1.1079
ENSMUSG00000000346	Dazap2	7.5087	36.3179	27.2949	12.3167
ENSMUSG00000000355	Mcts1	13.9802	11.9547	18.9605	25.6574
ENSMUSG00000000359	Rem1	0.225	0.0299	0.0275	0
ENSMUSG00000000365	Rnf17	28.9705	1.177	0.2096	0.263
ENSMUSG00000000374	Trappc10	4.0824	4.5522	6.6243	9.735
ENSMUSG00000000378	Ccm2	6.8287	13.5324	10.9251	10.0136
ENSMUSG00000000381	Wap	0	0	0	0
ENSMUSG00000000384	Tbrg4	20.5588	22.0899	8.3021	4.3474
ENSMUSG00000000385	Tmprss2	0.0622	0.1094	0.1437	0.1688
ENSMUSG00000000386	Mx1	0.0065	0	0	0
ENSMUSG00000000392	Fap	0.0299	0	0	0
ENSMUSG00000000394	Gcg	0	0	0	0
ENSMUSG00000000399	Ndufa9	29.1767	31.6458	29.0036	27.9453
ENSMUSG00000000402	Egfl6	2.1299	0.0647	0	0.0663
ENSMUSG00000000409	Lck	4.4507	1.8732	0.5817	2.3348
ENSMUSG00000000411	Tssk3	0.0459	0	0	0
ENSMUSG00000000416	Cttnbp2	0.351	0.5548	0.4447	1.6627
ENSMUSG00000000420	Galnt1	13.4581	22.6393	16.3506	11.4238
ENSMUSG00000000435	Myf5	0.0117	0	0	0.0345
ENSMUSG00000000439	Mkrn2	9.2906	6.7256	6.7448	6.9367
ENSMUSG00000000440	Pparg	0	0	0.0409	0.0311
ENSMUSG00000000441	Raf1	18.2869	28.1416	34.549	35.5803
ENSMUSG00000000486	1-Sep	33.012	0.6359	0.9892	0.3154
ENSMUSG00000000489	Pdgfb	0.7611	0.1594	0.1062	0.0441
ENSMUSG00000000530	Acvrl1	0.3595	0.0218	0	0.0623
ENSMUSG00000000531	Grasp	3.7265	2.4502	2.006	0.6684
ENSMUSG00000000532	Acvr1b	4.3766	3.8157	6.8942	14.4162
ENSMUSG00000000538	Tom1l2	0.7075	1.8889	3.4089	6.8857
ENSMUSG00000000544	Gpa33	11.9383	0.0515	0	0.0119
ENSMUSG00000000552	Zfp385a	0.3666	2.6268	1.1087	0.7842
ENSMUSG00000000555	Itga5	1.6308	1.0735	0.5383	0.1487
ENSMUSG00000000560	Gabra2	0.0262	0.0187	0	0.1377
ENSMUSG00000000561	Wdr77	24.0035	32.6808	7.9943	6.6241
ENSMUSG00000000562	Adora3	0	0	0	0
ENSMUSG00000000563	Atp5f1	80.1514	87.5359	103.904	100.331
ENSMUSG00000000567	Sox9	0.0117	1.1983	2.0508	1.2049
ENSMUSG00000000568	Hnrnpd	28.7037	47.0155	33.17	13.89
ENSMUSG00000000579	Dynlt1c	0	0	0	0.0117
ENSMUSG00000000581	C1d	16.8212	20.2763	21.267	27.2759
ENSMUSG00000000594	Gm2a	4.9243	1.2525	2.708	3.0469
ENSMUSG00000000600	Krit1	4.5395	7.9324	8.7799	7.9635
ENSMUSG00000000605	Clcn4-2	1.485	4.1052	12.243	19.8416
ENSMUSG00000000606	Vmn2r88	0	0	0	0
ENSMUSG00000000617	Grm6	0.0289	0.0101	0	0
ENSMUSG00000000627	Sema4f	0.2104	0.0721	0.2933	1.3293
ENSMUSG00000000628	Hk2	55.4051	7.8848	5.3848	4.0972
ENSMUSG00000000631	Myo18a	7.3182	4.3567	9.3013	9.0057
ENSMUSG00000000632	Sez6	0.0262	0.4012	0.4948	2.8663
ENSMUSG00000000673	Haao	0.0336	0	0	0
ENSMUSG00000000682	Cd52	0	0	0	0
ENSMUSG00000000686	Abhd15	0.237	1.484	1.7323	0.7551
ENSMUSG00000000690	Hoxb6	0.091	33.3885	53.4744	15.5261
ENSMUSG00000000693	Loxl3	1.3277	1.1218	0.182	0.0542
ENSMUSG00000000701	Tcl1b5	0	0	0	0
ENSMUSG00000000706	Btn1a1	0.024	0.0474	0.0121	0.0179
ENSMUSG00000000708	Kat2b	14.3658	3.287	3.76	3.0472
ENSMUSG00000000711	Rab5b	7.9937	7.3018	17.502	18.3062
ENSMUSG00000000724	Cryba1	0.0311	0	0.1306	0.1668
ENSMUSG00000000730	Dnmt3l	55.4755	0.0408	0	0.0177
ENSMUSG00000000731	Aire	5.3246	0	0	0.0368
ENSMUSG00000000732	Icosl	2.249	0.6653	0.1201	0.0949
ENSMUSG00000000751	Rpa1	90.3852	46.0447	9.0539	4.4949
ENSMUSG00000000753	Serpinf1	1.4141	30.3851	3.8533	1.2352
ENSMUSG00000000759	Tubgcp3	7.4329	15.1931	9.3594	7.8909
ENSMUSG00000000766	Oprm1	0	0	0.0473	0.3062
ENSMUSG00000000776	Polr3d	4.7778	8.3732	5.4108	4.2648
ENSMUSG00000000782	Tcf7	2.7637	2.2752	0.6715	0.0881
ENSMUSG00000000787	Ddx3x	124.454	96.9241	110.759	68.2505
ENSMUSG00000000791	Il12rb1	0.2571	0.0419	0.0803	0.0687
ENSMUSG00000000792	Slc5a5	0.353	0.0308	0.3755	0.6108
ENSMUSG00000000794	Kcnn3	0.0438	0.0955	0.1772	0.4877
ENSMUSG00000000804	Usp32	7.2159	3.3579	7.6362	9.3213
ENSMUSG00000000805	Car4	0.7622	0.3867	0.3994	0
ENSMUSG00000000811	Txnrd3	1.4227	3.2661	4.2563	4.5916
ENSMUSG00000000817	Fasl	0.0292	0	0.1818	0.2843
ENSMUSG00000000823	Znf512b	2.3192	12.514	7.7275	9.4591
ENSMUSG00000000826	Dnajc5	8.2423	16.0779	23.5144	34.0851
ENSMUSG00000000827	Tpd52l2	21.8299	22.2541	19.8106	17.687
ENSMUSG00000000838	Fmr1	22.2974	24.2005	17.6898	13.5358
ENSMUSG00000000861	Bcl11a	0.1255	0.0848	0.2325	2.6897
ENSMUSG00000000869	Il4	0	0	0	0
ENSMUSG00000000876	Pxmp4	0.4912	2.0639	2.7652	2.1756
ENSMUSG00000000881	Dlg3	4.4206	9.7943	8.478	8.5728
ENSMUSG00000000884	Gnb1l	1.3957	2.7935	0.4373	0.5901
ENSMUSG00000000889	Dbh	0	0	0.0297	0.0783
ENSMUSG00000000901	Mmp11	2.4565	1.9313	2.6437	2.7082
ENSMUSG00000000902	Smarcb1	15.2213	25.2526	17.1292	21.6718
ENSMUSG00000000903	Vpreb3	0	0	0	0
ENSMUSG00000000915	Hip1r	2.4344	2.7082	2.9252	5.5367
ENSMUSG00000000916	Nsun5	5.0027	6.4216	2.4346	1.8754
ENSMUSG00000000934	Top1mt	1.5841	2.26	1.6225	2.9849
ENSMUSG00000000938	Hoxa10	0.1097	0	0	0
ENSMUSG00000000942	Hoxa4	0.0173	11.5151	7.0322	8.4648
ENSMUSG00000000948	Snrpn	15.5046	15.925	31.7574	65.1518
ENSMUSG00000000957	Mmp14	2.9358	1.1356	3.823	0.7927
ENSMUSG00000000958	Slc7a7	9.5672	0.6803	0.5905	0.3935
ENSMUSG00000000959	Oxa1l	3.0343	13.2113	4.9407	4.9034
ENSMUSG00000000976	Heatr6	5.3435	7.0973	6.5291	7.1177
ENSMUSG00000000982	Ccl3	0.038	0	0	0
ENSMUSG00000000983	Expi	0	0	0	0
ENSMUSG00000001014	Icam4	0.3454	0	0.0556	0
ENSMUSG00000001016	Ilf2	57.359	51.2829	61.9754	52.9903
ENSMUSG00000001017	2500003M10Rik	28.7449	51.0262	48.6818	49.6465
ENSMUSG00000001018	Snapin	6.3921	7.8601	10.3937	10.1562
ENSMUSG00000001020	S100a4	5.1558	0	0	0
ENSMUSG00000001021	S100a3	0.0402	0	0	0
ENSMUSG00000001023	S100a5	0	0	0	0
ENSMUSG00000001025	S100a6	20.7384	0.9291	0.0686	0.2029
ENSMUSG00000001027	Scn4a	0.0086	0.0055	0	0.0038
ENSMUSG00000001029	Icam2	0.0483	0.0332	0.031	0.0659
ENSMUSG00000001034	Mapk7	3.5936	9.7849	6.5445	5.6164
ENSMUSG00000001036	Epn2	9.3054	8.8068	7.0696	8.2047
ENSMUSG00000001039	B9d1	7.1627	15.0188	8.3686	2.831
ENSMUSG00000001052	Sec24b	1.9068	6.2119	6.0238	4.8693
ENSMUSG00000001053	N4bp3	12.684	3.7944	0.5287	0.7649
ENSMUSG00000001054	Rmnd5b	7.9377	4.0039	4.7643	7.1203
ENSMUSG00000001056	Nhp2	36.37	62.1288	12.8776	7.1876
ENSMUSG00000001076	C1ql4	0.097	0	0.3043	1.6996
ENSMUSG00000001082	Mfsd10	4.2795	5.8948	2.4668	2.5897
ENSMUSG00000001089	Luzp1	11.82	12.0388	8.8852	5.4097
ENSMUSG00000001095	Slc13a2	0.0192	0	0	0
ENSMUSG00000001098	Kctd10	7.0353	9.6996	33.356	23.7089
ENSMUSG00000001100	Poldip2	27.889	21.8448	18.9681	17.9047
ENSMUSG00000001103	Sebox	0	0	0	0
ENSMUSG00000001105	Ift20	16.9126	8.2547	9.1026	10.1849
ENSMUSG00000001119	Col6a1	1.3523	0.2694	0.3036	0.49
ENSMUSG00000001120	Pcbp3	2.4446	5.4292	14.0418	18.9581
ENSMUSG00000001123	Lgals9	0.8561	0.0528	0.102	0.1135
ENSMUSG00000001127	Araf	7.4752	13.4312	16.3665	29.4921
ENSMUSG00000001128	Cfp	0.5794	1.1077	0.3152	0.8676
ENSMUSG00000001131	Timp1	11.0919	1.9613	0.2286	0.1705
ENSMUSG00000001134	Uxt	5.2611	10.4649	4.4329	3.4806
ENSMUSG00000001138	Cnnm3	2.7382	4.2079	2.4725	1.8185
ENSMUSG00000001143	Lman2l	1.5072	4.71	4.7435	3.9101
ENSMUSG00000001150	Mcm3ap	10.8548	6.302	8.1732	6.2234
ENSMUSG00000001151	Pcnt	6.5707	6.4829	2.7066	1.4749
ENSMUSG00000001155	Ftcd	0	0	0	0
ENSMUSG00000001156	Mxd1	0.4357	1.0023	4.6228	2.5811
ENSMUSG00000001157	Gmcl1	8.0773	5.3452	10.7013	9.6018
ENSMUSG00000001158	Snrnp27	8.707	19.5302	15.147	10.4623
ENSMUSG00000001166	Oas1c	0.3335	0.1338	0.1637	0.6084
ENSMUSG00000001168	Oas1h	0	0	0	0
ENSMUSG00000001173	Ocrl	3.7231	4.3773	4.0999	5.3107
ENSMUSG00000001175	Calm1	65.6078	72.9111	208.113	263.439
ENSMUSG00000001211	Agpat3	6.0725	14.0676	9.4457	6.4507
ENSMUSG00000001225	Slc26a3	0	0	0	0
ENSMUSG00000001227	Sema6b	0.522	0.26	1.8681	3.7914
ENSMUSG00000001228	Uhrf1	107.421	54.394	13.8613	1.1287
ENSMUSG00000001229	Dpp9	1.1713	7.3379	3.5297	1.9709
ENSMUSG00000001240	Ramp2	0.2872	1.1082	0.6574	0.4561
ENSMUSG00000001247	Lsr	4.4387	10.8133	1.1984	0.6436
ENSMUSG00000001248	Gramd1a	3.8078	6.6125	16.9155	30.1923
ENSMUSG00000001249	Hpn	1.6386	0.1459	0.1076	0.0537
ENSMUSG00000001260	Gabrg1	0.0667	0.0602	0.2968	0.084
ENSMUSG00000001270	Ckb	62.4887	71.1286	124.826	107.477
ENSMUSG00000001280	Sp1	30.7015	16.4881	9.9827	5.3134
ENSMUSG00000001281	Itgb7	3.652	0.0304	0	0
ENSMUSG00000001285	Myg1	13.4632	20.7878	8.9249	6.3106
ENSMUSG00000001288	Rarg	10.2893	0.5191	0.587	1.3399
ENSMUSG00000001289	Pfdn5	29.1405	47.2756	55.1409	62.4121
ENSMUSG00000001300	Efnb2	1.2274	5.5844	5.022	3.1832
ENSMUSG00000001305	Rrp15	20.1864	16.1674	5.0047	3.6394
ENSMUSG00000001313	Rnd2	2.4427	7.5876	10.8941	5.6524
ENSMUSG00000001323	Srr	0.2626	2.6488	4.5545	3.6708
ENSMUSG00000001333	Sync	0.3166	0.1171	0.3269	0.6218
ENSMUSG00000001334	Fndc5	0.1324	15.1598	10.9252	5.2312
ENSMUSG00000001348	Acp5	2.723	0.2044	0.0536	0.0757
ENSMUSG00000001349	Cnn1	1.0994	0.3324	0.0276	0.0105
ENSMUSG00000001366	Fbxo9	3.2349	3.9372	4.1084	4.2102
ENSMUSG00000001376	Ccdc132	11.1066	8.8082	11.5396	13.791
ENSMUSG00000001379	Apbb3	1.3231	2.1587	3.5394	9.3967
ENSMUSG00000001380	Hars	20.412	20.5526	18.0393	19.944
ENSMUSG00000001383	Zmat2	12.1933	16.1055	14.7955	9.097
ENSMUSG00000001403	Ube2c	23.3295	81.7279	8.1276	0.569
ENSMUSG00000001415	Smg5	9.7893	15.42	9.6476	7.6896
ENSMUSG00000001416	Cct3	194.638	132.267	75.0709	68.9448
ENSMUSG00000001417	Rhbg	0.4297	0.0234	0	0
ENSMUSG00000001418	0610031J06Rik	10.9199	13.3341	7.4415	5.0135
ENSMUSG00000001419	Mef2d	1.686	2.0428	1.6665	1.7158
ENSMUSG00000001420	Tmem79	1.9106	0.4168	0.1051	0.046
ENSMUSG00000001424	Snd1	46.0725	27.5276	25.5089	19.2587
ENSMUSG00000001435	Col18a1	36.8559	57.0092	11.3299	2.1765
ENSMUSG00000001436	Slc19a1	2.2432	4.6593	2.856	2.1148
ENSMUSG00000001440	Kpnb1	155.158	104.47	62.8212	40.1755
ENSMUSG00000001441	Npepps	24.5636	16.386	18.6357	18.4493
ENSMUSG00000001444	Tbx21	0.1359	0.0323	0.0148	0
ENSMUSG00000001445	Mrpl10	11.6446	18.2637	5.7536	4.6159
ENSMUSG00000001467	Cyp51	23.3444	29.7832	56.0936	70.2862
ENSMUSG00000001473	Tubb6	18.1604	29.5905	5.1069	1.2689
ENSMUSG00000001493	Meox1	0.1744	0.2733	0.1148	0.0326
ENSMUSG00000001494	Sost	0.0364	0.225	1.3502	0.0312
ENSMUSG00000001496	Nkx2-1	0	0	0.2681	0
ENSMUSG00000001497	Pax9	0.0326	0.0233	0.1101	0.1668
ENSMUSG00000001504	Irx2	0.6209	3.978	1.3532	8.5019
ENSMUSG00000001506	Col1a1	1.4402	0.1813	0.014	0.01
ENSMUSG00000001507	Itga3	5.1362	4.2612	1.1939	3.3481
ENSMUSG00000001508	Sgca	0.0458	0	0	0
ENSMUSG00000001510	Dlx3	0.0967	0.0763	0.1612	0.0818
ENSMUSG00000001517	Foxm1	2.2555	16.233	2.3654	0.2684
ENSMUSG00000001518	Itfg2	2.6491	4.4681	1.9554	4.04
ENSMUSG00000001520	Nrip2	0	0	0	0.0182
ENSMUSG00000001521	Tulp3	6.8311	3.9392	2.7241	1.1387
ENSMUSG00000001524	Gtf2h4	8.916	9.8854	3.5545	2.3341
ENSMUSG00000001525	Tubb5	288.967	525.803	572.396	744.552
ENSMUSG00000001542	Ell2	5.8471	2.4795	1.1666	0.8098
ENSMUSG00000001552	Jup	10.9139	1.3422	4.8103	5.1502
ENSMUSG00000001555	Fkbp10	2.4621	1.4685	0.2487	0.2518
ENSMUSG00000001558	Klhl10	0.2582	0.1412	0.09	0.0424
ENSMUSG00000001566	Mnx1	0.5489	3.9529	36.4745	22.0016
ENSMUSG00000001569	Nom1	6.1165	5.1234	3.2761	1.9609
ENSMUSG00000001576	Ergic1	12.0829	18.3901	8.5399	11.5621
ENSMUSG00000001583	Tnk1	2.1524	0.0703	0.048	0.2252
ENSMUSG00000001588	Acap1	1.5413	0.0487	0.0538	0
ENSMUSG00000001604	Tcea3	7.7951	0.394	0.067	0
ENSMUSG00000001622	Csn3	0.0149	0.4317	0.2413	0.0915
ENSMUSG00000001627	Ifrd1	23.8307	36.2637	17.6844	17.6414
ENSMUSG00000001630	Stk38l	5.6794	2.8442	3.6157	1.9772
ENSMUSG00000001632	Brpf1	5.9209	8.0094	5.636	4.5
ENSMUSG00000001642	Akr1b3	43.8597	33.1189	7.3093	6.2656
ENSMUSG00000001655	Hoxc13	0.1823	0	0	0
ENSMUSG00000001656	Hoxc11	0.0127	0	0	0
ENSMUSG00000001657	Hoxc8	0.1293	0.033	0	0
ENSMUSG00000001661	Hoxc6	0.1114	0.0523	0	0.0723
ENSMUSG00000001663	Gstt1	0.2139	0.9924	0.188	0.2725
ENSMUSG00000001665	Gstt3	2.2169	0.5076	0.1216	0
ENSMUSG00000001666	Ddt	10.9238	18.4612	7.6547	5.1051
ENSMUSG00000001670	Tat	0	0	0	0
ENSMUSG00000001672	Marveld3	0.8652	0.0839	0.1819	0.0233
ENSMUSG00000001674	Ddx18	26.149	23.0348	9.1714	5.9793
ENSMUSG00000001687	Ubl3	16.192	17.3016	30.0541	24.6048
ENSMUSG00000001700	Gramd3	0.5693	2.2114	0.9699	0.2215
ENSMUSG00000001707	Eef1e1	50.8251	25.8302	29.9958	36.555
ENSMUSG00000001729	Akt1	4.5027	25.0173	21.8965	22.5857
ENSMUSG00000001739	Cldn15	0.1033	0.3216	0.0838	0.0771
ENSMUSG00000001741	Il16	0	0	0	0.0097
ENSMUSG00000001750	Tcirg1	2.3621	3.0838	0.4631	0.3515
ENSMUSG00000001751	Naglu	0.8082	2.1156	1.9016	1.5669
ENSMUSG00000001755	Coasy	6.9975	8.024	8.3122	7.2799
ENSMUSG00000001761	Smo	2.8957	23.6281	8.288	1.5633
ENSMUSG00000001763	Tspan33	0.4241	2.6619	0.6029	0.4926
ENSMUSG00000001767	Crnkl1	14.43	10.5145	10.7115	7.0739
ENSMUSG00000001768	Rin2	0.8913	0.693	2.3606	3.4773
ENSMUSG00000001773	Folh1	0.0145	0.0433	0	0
ENSMUSG00000001774	Chordc1	17.8046	24.0921	21.5794	18.1522
ENSMUSG00000001783	D10Wsu52e	36.0961	41.0614	29.3191	28.9975
ENSMUSG00000001785	Pwp1	37.098	22.1505	12.525	12.5145
ENSMUSG00000001786	Fbxo7	3.2713	3.6048	1.6638	1.306
ENSMUSG00000001794	Capns1	21.7526	22.818	26.999	37.5548
ENSMUSG00000001802	Lrp3	0.78	12.0009	11.4829	12.4566
ENSMUSG00000001804	Dsg4	0	0	0	0
ENSMUSG00000001815	Evx2	0	0	0	0
ENSMUSG00000001819	Hoxd13	0.1517	0.0414	0.0202	0
ENSMUSG00000001823	Hoxd12	0	0	0	0
ENSMUSG00000001827	Folr1	28.8582	6.6913	0.0845	0.3321
ENSMUSG00000001829	Clpb	17.1309	8.9085	6.7345	6.8854
ENSMUSG00000001833	7-Sep	54.8211	42.8299	64.8585	61.6884
ENSMUSG00000001844	Zdhhc4	3.3992	11.3391	6.2553	5.7183
ENSMUSG00000001847	Rac1	21.2154	42.6272	31.8333	29.5276
ENSMUSG00000001855	Nup214	9.5832	10.7966	6.914	4.7635
ENSMUSG00000001864	Aif1l	2.1039	13.5414	3.6612	1.1494
ENSMUSG00000001865	Cpa3	0	0	0	0
ENSMUSG00000001870	Ltbp1	2.4054	5.7109	2.6444	1.1109
ENSMUSG00000001891	Ugp2	9.0552	6.2865	10.542	12.3488
ENSMUSG00000001901	Kcnh6	0.1792	0.0167	0.0286	0.094
ENSMUSG00000001909	Trmt1	20.2179	21.8783	7.6224	8.955
ENSMUSG00000001910	Nacc1	9.5026	24.4214	8.8188	4.5573
ENSMUSG00000001911	Nfix	0.1948	0.9618	0.0073	0.0409
ENSMUSG00000001918	Slc1a5	17.6661	12.5014	1.5329	1.859
ENSMUSG00000001924	Uba1	57.6167	50.4358	84.3987	92.0412
ENSMUSG00000001930	Vwf	1.3044	0.0042	0.1313	0.0423
ENSMUSG00000001942	Siae	2.4848	1.5613	1.1665	1.6618
ENSMUSG00000001943	Vsig2	0.3648	0.0555	0.0512	0.1656
ENSMUSG00000001946	Esam	0.5442	0.1706	0.394	0.2882
ENSMUSG00000001948	Spa17	0.3328	1.0851	0.8201	1.9737
ENSMUSG00000001962	Fam50a	7.904	4.9204	3.7326	1.7505
ENSMUSG00000001964	Emd	9.6742	19.5214	10.2862	6.7962
ENSMUSG00000001983	Taco1	7.3882	3.8402	6.7546	5.2178
ENSMUSG00000001985	Grik3	0.6315	0.191	2.2329	2.9118
ENSMUSG00000001986	Gria3	0.3329	1.1331	1.4305	4.2846
ENSMUSG00000001988	Npas1	0.0122	0	0	0
ENSMUSG00000001995	Sipa1l2	3.9801	2.4949	9.9903	3.2082
ENSMUSG00000001998	Ap4e1	6.4486	5.6452	7.4071	6.093
ENSMUSG00000001999	Blvra	3.7895	1.1032	0.8878	1.4598
ENSMUSG00000002006	Pdzd4	15.1587	2.4425	3.8163	10.4919
ENSMUSG00000002007	Srpk3	0.0101	0.0196	0.3652	0.0308
ENSMUSG00000002010	Idh3g	16.6026	29.972	20.6082	21.2901
ENSMUSG00000002012	Pnck	0.3391	0.263	0.1833	1.3308
ENSMUSG00000002014	Ssr4	18.728	28.447	18.5415	18.0531
ENSMUSG00000002015	Bcap31	21.5861	24.1014	16.4539	14.3984
ENSMUSG00000002017	Fam98a	11.3579	9.2578	7.3971	4.2268
ENSMUSG00000002020	Ltbp2	0.3748	0.0576	0.0954	0.0067
ENSMUSG00000002028	Mll1	1.7959	3.761	3.1301	2.4506
ENSMUSG00000002031	Ift46	32.4186	25.8203	27.2716	26.9576
ENSMUSG00000002032	Tmem25	0.1408	0.3813	0.1455	0.335
ENSMUSG00000002033	Cd3g	0.2203	0	0	0
ENSMUSG00000002043	Trappc6a	7.4177	4.8271	9.0392	14.0368
ENSMUSG00000002052	Supt6h	11.6786	9.6995	9.3177	6.9032
ENSMUSG00000002055	Spag5	18.475	20.759	3.9631	0.4859
ENSMUSG00000002057	Foxn1	0.0069	0.0123	0	0
ENSMUSG00000002058	Unc119	6.3226	10.4936	6.8709	8.6851
ENSMUSG00000002059	Rab34	2.5922	27.7884	3.9571	2.1038
ENSMUSG00000002064	Sdf2	11.7974	8.7694	8.4586	10.4398
ENSMUSG00000002068	Ccne1	41.0963	20.3413	3.6608	2.419
ENSMUSG00000002076	Hsf2bp	15.1568	0.2112	0.1418	0.047
ENSMUSG00000002083	Bbc3	5.9577	10.7177	7.5179	13.4482
ENSMUSG00000002100	Mybpc3	0.0731	0.0077	0.0368	0
ENSMUSG00000002102	Psmc3	56.6118	60.4734	52.0812	39.8553
ENSMUSG00000002103	Acp2	1.1655	4.1408	5.3105	5.2378
ENSMUSG00000002104	Rapsn	0.1218	0.2125	0	0
ENSMUSG00000002105	Slc39a13	0.7469	2.9712	2.0459	3.1034
ENSMUSG00000002107	Celf2	1.5867	2.3007	2.5249	2.1107
ENSMUSG00000002108	Nr1h3	0.1302	0.3495	0.0877	0.1132
ENSMUSG00000002109	Ddb2	2.0567	1.4045	0.7264	0.6817
ENSMUSG00000002111	Sfpi1	0.0802	0.0192	0.0549	0
ENSMUSG00000002129	Sf3a1	10.7843	24.8355	10.8163	6.7663
ENSMUSG00000002147	Stat6	6.7242	0.2836	0.3821	0.7105
ENSMUSG00000002190	Clgn	0.3973	0.1642	0.5024	0.587
ENSMUSG00000002204	Napsa	0.0312	0	0	0
ENSMUSG00000002205	Vrk3	2.426	2.7615	3.2474	1.9219
ENSMUSG00000002210	1500002O20Rik	2.5156	4.4137	1.6674	1.9172
ENSMUSG00000002221	Paxip1	4.0107	7.6021	3.1425	1.6233
ENSMUSG00000002222	Rmnd5a	25.2903	15.5011	23.7283	15.1863
ENSMUSG00000002227	Mov10	9.1473	1.3974	1.1045	0.6437
ENSMUSG00000002228	Ppm1j	3.9056	0.0919	0.0222	0.0658
ENSMUSG00000002233	Rhoc	7.4926	11.7957	10.7537	11.1901
ENSMUSG00000002240	4930432K09Rik	0	0	0	0
